# det_alpha	det_beta	CI Coeffs
[0, 1]	[0, 1]	-0.950546942320
[0, 1]	[0, 2]	0.000000000000
[0, 1]	[1, 2]	0.000000000000
[0, 1]	[0, 3]	0.000000000000
[0, 1]	[1, 3]	0.000000000000
[0, 1]	[2, 3]	0.000000000170
[0, 1]	[0, 4]	0.000000000000
[0, 1]	[1, 4]	0.000000000000
[0, 1]	[2, 4]	0.000000000485
[0, 1]	[3, 4]	-0.000000000293
[0, 1]	[0, 5]	0.000000000000
[0, 1]	[1, 5]	0.000000000000
[0, 1]	[2, 5]	-0.000690797260
[0, 1]	[3, 5]	0.000635846210
[0, 1]	[4, 5]	0.000424271346
[0, 1]	[0, 6]	0.000000000000
[0, 1]	[1, 6]	0.000000000000
[0, 1]	[2, 6]	-0.000354370428
[0, 1]	[3, 6]	0.000240293532
[0, 1]	[4, 6]	-0.000937139631
[0, 1]	[5, 6]	-0.000000000672
[0, 1]	[0, 7]	0.000000000000
[0, 1]	[1, 7]	0.000000000000
[0, 1]	[2, 7]	-0.000677294783
[0, 1]	[3, 7]	-0.000774257799
[0, 1]	[4, 7]	0.000057586540
[0, 1]	[5, 7]	-0.000000000174
[0, 1]	[6, 7]	0.000000000042
[0, 1]	[0, 8]	-0.014019385042
[0, 1]	[1, 8]	0.000345305682
[0, 1]	[2, 8]	0.000000000000
[0, 1]	[3, 8]	0.000000000000
[0, 1]	[4, 8]	0.000000000000
[0, 1]	[5, 8]	0.000000000000
[0, 1]	[6, 8]	0.000000000000
[0, 1]	[7, 8]	0.000000000000
[0, 2]	[0, 1]	0.000000000000
[0, 2]	[0, 2]	0.160648310262
[0, 2]	[1, 2]	-0.001164145874
[0, 2]	[0, 3]	0.000000110976
[0, 2]	[1, 3]	-0.000000001644
[0, 2]	[2, 3]	0.000000000000
[0, 2]	[0, 4]	0.000000045247
[0, 2]	[1, 4]	-0.000000001589
[0, 2]	[2, 4]	0.000000000000
[0, 2]	[3, 4]	0.000000000000
[0, 2]	[0, 5]	0.035167598001
[0, 2]	[1, 5]	-0.001498472201
[0, 2]	[2, 5]	0.000000000000
[0, 2]	[3, 5]	0.000000000000
[0, 2]	[4, 5]	0.000000000000
[0, 2]	[0, 6]	0.018040221645
[0, 2]	[1, 6]	-0.000768694248
[0, 2]	[2, 6]	0.000000000000
[0, 2]	[3, 6]	0.000000000000
[0, 2]	[4, 6]	0.000000000000
[0, 2]	[5, 6]	0.000000000000
[0, 2]	[0, 7]	0.034479678093
[0, 2]	[1, 7]	-0.001469178509
[0, 2]	[2, 7]	0.000000000000
[0, 2]	[3, 7]	0.000000000000
[0, 2]	[4, 7]	0.000000000000
[0, 2]	[5, 7]	0.000000000000
[0, 2]	[6, 7]	0.000000000000
[0, 2]	[0, 8]	0.000000000000
[0, 2]	[1, 8]	0.000000000000
[0, 2]	[2, 8]	-0.000141694348
[0, 2]	[3, 8]	0.000000000495
[0, 2]	[4, 8]	0.000000000440
[0, 2]	[5, 8]	-0.000370264804
[0, 2]	[6, 8]	-0.000189937272
[0, 2]	[7, 8]	-0.000363020756
[1, 2]	[0, 1]	0.000000000000
[1, 2]	[0, 2]	-0.001164145874
[1, 2]	[1, 2]	-0.000059394278
[1, 2]	[0, 3]	-0.000000001821
[1, 2]	[1, 3]	0.000000003995
